,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Google_Index,WHOIS_Domain,DNS_Record,Registration_Length,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
2079,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1053,0,0,0,0,0,0,2,0,0,0,0,291,2,0,0
8720,0,0,0,0,1,0,6,0,1,0,0,185,6,0,0
8777,0,0,0,0,0,0,1,0,1,0,0,952,3,0,0
3694,1,0,0,0,1,0,7,0,1,0,0,284,2,0,1
5777,0,0,0,0,0,0,2,0,1,0,0,528,2,0,1
6548,1,0,0,0,1,0,4,0,1,0,0,812,2,0,1
3945,0,0,0,0,0,0,1,0,0,0,0,253,2,0,0
461,0,0,0,0,0,0,3,0,0,0,0,149,3,0,0
9161,0,1,0,0,1,0,2,0,0,0,0,260,3,1,0
9284,1,0,0,0,0,0,1,0,1,0,0,274,2,0,0
3382,0,0,1,0,0,0,0,0,1,0,0,374,2,0,0
1954,0,0,0,0,0,0,2,0,1,0,0,347,1,0,0
2923,0,0,0,0,0,0,2,0,1,0,0,411,2,0,0
2328,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2518,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1
6503,0,0,0,0,0,0,1,0,1,0,0,96,3,0,0
969,1,0,0,0,1,0,5,0,1,1,0,0,4,0,0
92,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
2068,0,0,0,0,0,0,3,0,0,0,0,3483,3,0,0
1925,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
4510,0,0,0,0,0,0,0,0,1,0,0,120,2,0,0
6519,0,1,0,0,1,0,6,0,1,0,0,332,3,2,3
10704,0,0,0,0,1,0,2,0,0,0,0,804,3,0,2
10547,0,0,0,0,0,0,2,0,0,0,0,294,2,0,0
10173,1,0,0,0,1,0,2,0,1,0,0,15,4,0,0
7807,1,1,0,0,1,0,2,0,1,0,0,89,1,4,0
3730,0,0,0,0,0,0,0,0,0,0,0,247,2,0,0
9931,0,0,0,0,0,0,0,0,0,0,0,232,3,0,0
2583,1,1,0,0,1,0,2,0,1,0,0,25,4,1,2
9620,0,0,0,0,0,0,1,0,0,0,0,713,2,0,0
3540,0,0,0,0,1,0,1,1,0,0,0,381,4,0,0
336,0,1,1,1,1,0,7,0,1,0,0,140,4,1,0
5866,1,0,0,0,1,0,4,0,0,0,0,331,3,5,0
9418,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0
1717,0,0,1,0,1,0,2,0,0,0,0,130,2,3,0
4266,0,0,0,0,0,0,1,0,0,0,0,192,2,0,0
1052,0,0,0,0,1,0,4,0,1,0,0,2974,2,0,0
2784,0,0,0,0,0,0,1,0,1,0,0,359,1,0,0
5524,0,0,0,0,0,0,3,0,1,0,0,1337,2,0,0
181,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5883,1,0,0,0,1,0,4,0,0,0,0,3103,4,8,0
5720,0,0,0,1,1,0,1,0,0,0,0,112,4,0,0
10975,1,1,0,0,1,0,6,0,1,0,0,352,2,4,0
10464,0,0,0,0,1,0,4,0,1,0,0,2526,2,6,4
7587,0,0,1,0,1,0,2,0,0,0,0,124,2,2,0
2497,1,1,0,0,1,0,7,0,1,0,0,144,1,1,0
7454,0,1,0,1,1,0,7,0,1,0,0,139,4,2,0
7995,0,0,1,0,0,0,1,0,1,0,0,218,4,2,0
5872,0,0,1,0,0,0,0,0,0,0,0,1861,2,0,0
10172,1,1,0,0,1,0,4,0,1,0,1,342,3,1,0
4065,0,0,0,0,1,0,1,1,1,0,0,104,1,0,0
10024,0,0,0,0,0,0,1,0,1,0,0,254,3,0,0
3202,0,0,1,0,0,0,0,0,0,0,0,371,2,0,0
3112,0,0,1,0,0,0,0,0,1,0,0,36,2,0,0
66,0,0,0,0,0,0,0,0,0,0,0,637,2,0,0
4738,0,0,1,0,1,0,1,0,0,0,0,138,3,4,0
9981,0,0,0,0,0,0,1,0,0,0,0,710,2,0,2
2208,0,0,0,0,1,0,1,0,1,0,0,644,3,2,0
11338,1,0,0,0,1,0,2,1,0,0,0,154,5,0,0
2898,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0
9778,0,0,0,0,1,0,3,0,0,0,0,172,3,1,0
4168,0,0,0,0,0,0,1,0,1,0,0,276,3,0,0
2589,0,1,0,0,1,0,2,0,1,0,0,80,3,1,0
9268,0,1,0,0,0,0,2,0,1,1,0,0,2,2,0
3435,0,0,0,0,0,0,0,0,0,0,0,732,3,0,0
2435,0,0,0,0,1,0,1,0,0,0,0,215,2,7,0
785,0,0,0,0,0,0,1,0,0,0,0,1408,2,0,1
9160,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2887,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0
10751,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
5960,1,0,0,0,1,0,3,0,1,0,0,76,1,0,0
3795,0,1,0,0,1,0,2,0,0,0,0,1836,1,9,0
2410,0,1,0,0,0,0,1,0,1,0,0,163,1,1,0
496,0,1,0,0,0,0,2,0,1,0,0,102,3,2,0
2219,1,0,1,0,1,0,1,1,0,0,0,2976,14,0,0
8613,0,0,0,0,1,0,5,0,1,1,0,0,2,0,0
5118,0,0,1,0,0,0,1,0,1,0,0,217,4,0,0
6903,0,0,1,0,1,0,2,0,0,0,0,133,2,2,0
2813,0,1,0,0,0,0,0,0,0,0,0,296,2,1,0
3647,0,0,0,0,1,0,4,0,1,0,0,2975,2,0,1
867,1,0,0,0,1,0,3,0,1,0,0,175,3,0,1
6784,0,0,0,0,0,0,2,0,0,0,0,208,2,0,0
10659,0,0,0,0,0,0,2,0,1,0,0,873,2,0,0
9995,0,0,0,0,0,0,0,0,0,0,0,245,2,0,0
613,1,1,1,0,1,0,5,0,1,0,0,381,2,3,3
10281,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
462,1,1,0,0,1,0,6,0,1,0,0,112,3,1,0
2230,0,0,1,0,0,0,1,0,1,0,0,320,5,0,0
7471,0,1,0,0,0,0,0,0,1,0,0,363,1,1,0
11243,0,0,0,0,0,0,0,0,0,0,0,221,2,0,0
9607,0,0,0,0,0,0,3,0,1,0,0,1078,2,0,0
8085,0,0,0,0,1,0,1,0,0,0,0,308,2,7,0
9377,0,0,0,0,0,0,3,0,0,0,0,199,2,0,0
8445,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
8094,0,0,0,0,0,0,0,0,0,0,0,313,2,0,0
8675,0,0,0,0,0,0,0,0,1,0,0,242,2,0,0
10969,0,0,0,0,0,0,0,0,0,0,0,2252,2,0,0
7477,0,0,0,0,1,0,3,0,0,0,0,511,2,9,0
7480,1,1,0,0,1,0,4,0,0,0,0,660,3,1,5
1320,0,0,0,0,1,0,2,0,0,0,0,259,2,0,4
5143,0,1,0,0,0,0,1,0,0,0,0,256,3,1,0
6542,0,0,0,0,0,0,2,0,0,0,0,321,2,0,0
8763,0,0,0,0,1,0,5,0,1,0,0,269,7,0,1
8492,0,0,0,0,1,0,3,0,0,0,0,203,2,5,0
11195,1,0,0,0,1,0,2,0,1,0,0,25,4,0,2
7357,0,1,0,1,1,0,7,0,1,0,0,139,5,1,0
10402,0,1,0,0,1,0,4,0,1,0,0,0,5,2,0
140,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0
9026,0,1,0,0,0,0,0,0,0,0,0,260,2,1,0
3987,0,0,1,0,0,0,0,0,0,0,0,91,2,0,0
8500,0,0,0,0,0,0,1,0,0,0,0,281,1,3,0
10123,0,0,0,0,1,0,4,0,1,0,0,223,3,0,0
2308,0,0,0,0,0,0,2,0,1,0,0,435,2,0,0
11135,0,0,0,0,0,0,1,0,1,1,0,0,3,0,2
6094,0,0,0,0,1,0,0,0,0,0,0,247,2,0,0
5505,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
1124,0,0,0,0,0,0,0,0,1,0,0,84,2,2,0
1164,0,0,0,0,1,0,3,0,0,0,0,2976,4,0,1
647,0,0,0,0,0,0,3,0,1,0,0,150,3,0,0
4845,1,1,0,0,1,0,6,0,1,0,0,257,1,2,0
10803,0,0,0,0,1,0,3,0,1,0,0,0,1,5,0
3900,0,0,0,0,0,0,0,0,0,0,0,458,1,0,0
6654,1,0,0,0,1,0,2,0,1,0,0,0,3,0,0
7367,0,0,0,0,1,0,2,0,0,0,0,900,2,0,3
9282,0,0,0,0,0,0,2,0,1,1,0,0,3,0,0
4961,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
4342,1,0,0,1,1,0,2,0,1,1,1,0,24,0,18
3846,1,0,0,0,1,0,2,0,1,0,0,25,4,0,2
5301,0,0,0,0,0,0,2,0,1,0,0,61,1,0,0
9894,0,0,0,0,0,0,1,0,0,0,0,737,1,0,0
1679,0,0,0,0,0,0,1,0,1,0,0,343,1,2,0
9719,0,0,0,0,0,0,0,0,0,0,0,112,2,0,0
953,0,0,0,0,1,0,1,0,0,0,0,2509,3,6,1
7134,0,0,0,0,0,0,1,0,0,0,0,270,2,0,0
3732,0,0,0,0,0,0,0,0,0,0,0,2539,2,0,0
6278,0,1,0,0,1,0,5,0,1,0,0,267,3,1,0
5011,0,0,0,0,0,0,0,0,0,0,0,126,2,0,0
4874,0,0,0,0,1,0,3,0,0,0,0,1931,3,0,0
6909,0,0,0,0,0,0,0,0,0,0,0,696,1,0,0
4095,0,0,0,0,0,0,1,0,0,0,0,2508,2,0,0
6613,0,0,0,0,1,0,2,0,0,0,0,3305,2,0,4
11395,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8850,0,0,0,0,1,0,2,0,1,0,0,26,2,4,0
6645,0,0,0,0,0,0,1,0,1,0,0,230,1,0,0
3199,1,0,0,0,1,0,9,0,1,0,0,1063,3,2,0
11425,0,0,0,0,1,0,2,0,0,0,0,168,2,0,3
3272,1,1,1,0,1,0,8,0,1,0,0,59,4,1,0
3406,0,1,0,0,0,0,2,0,0,0,0,198,2,1,0
4999,0,0,0,0,0,0,0,0,1,0,0,364,2,0,0
5821,0,1,0,0,0,0,3,0,1,0,0,350,2,1,0
6289,0,0,0,0,1,0,4,0,1,0,0,286,5,0,0
9206,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0
10110,1,0,0,0,1,0,1,0,0,0,0,2974,2,0,0
201,0,0,1,0,0,0,0,0,0,0,0,373,2,0,0
2762,0,0,0,0,0,0,1,0,1,0,0,288,2,0,0
3790,1,0,0,0,1,0,2,0,1,0,0,25,4,0,2
8889,0,0,0,0,1,0,5,0,1,0,0,274,3,0,1
2916,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0
3689,0,0,0,0,0,0,2,0,1,0,0,155,1,0,1
8233,0,0,0,0,0,0,2,0,1,0,0,989,3,0,0
6710,1,0,0,0,0,0,3,0,1,1,1,0,5,0,0
6243,1,0,0,0,1,0,7,0,1,0,0,194,4,9,1
7162,0,0,1,0,0,0,1,0,0,0,0,618,2,0,0
729,0,0,0,0,0,0,0,0,0,0,0,345,2,0,0
1962,0,0,0,0,0,0,1,0,0,0,0,3375,1,0,0
2304,0,0,0,0,0,0,0,0,0,0,0,74,2,0,0
4594,1,0,0,0,1,0,1,0,0,0,0,487,2,4,0
5368,1,0,1,0,0,0,0,0,1,0,0,374,2,0,0
3157,0,0,0,0,1,0,2,0,1,0,0,7,2,5,0
467,0,1,0,0,0,0,2,0,1,0,0,249,2,2,0
8420,0,0,0,0,0,0,4,0,1,0,0,237,2,0,0
3359,0,0,1,0,0,0,0,0,1,0,0,374,2,0,0
5792,0,0,0,0,0,0,4,0,1,0,0,55,3,0,0
11179,1,0,0,0,1,0,2,0,1,0,0,0,2,0,0
1933,1,0,0,0,1,0,4,0,1,0,0,77,3,0,2
10071,1,0,0,0,1,0,2,0,1,0,0,15,5,0,2
3467,0,1,0,0,0,0,0,0,1,0,0,363,1,1,0
3600,0,0,0,0,1,0,4,0,1,0,0,44,2,0,0
4113,0,0,0,0,1,0,2,0,0,0,0,237,3,0,1
5674,0,1,0,0,1,0,1,0,1,1,0,0,2,2,0
3911,0,0,0,0,0,0,2,0,1,0,0,242,2,0,0
7515,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
9385,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0
1167,1,1,0,0,1,0,8,0,1,0,0,220,3,1,0
4526,0,1,0,0,1,0,1,0,0,0,0,188,2,1,0
1383,0,0,1,0,1,0,1,0,1,0,0,228,5,0,0
1524,1,0,0,0,1,0,7,0,1,1,0,0,6,0,0
5032,0,0,1,0,1,0,3,0,0,0,0,1369,3,0,0
1328,0,0,0,0,0,0,0,0,0,0,0,1617,2,0,0
8326,0,0,0,0,0,0,0,0,1,0,0,359,1,3,0
10107,0,1,0,0,0,0,3,0,1,0,0,225,2,1,0
3116,0,0,0,0,0,0,0,0,0,0,0,426,2,0,0
6816,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0
2416,0,0,0,0,1,0,7,0,1,0,0,1423,3,2,0
8605,1,0,1,1,1,0,1,0,1,0,0,217,5,3,4
6023,0,0,0,0,1,0,2,0,0,0,0,1300,3,5,0
7342,0,0,0,0,1,0,2,0,0,0,0,634,2,7,0
4155,0,0,0,0,0,0,0,0,1,0,0,231,2,0,0
8956,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
2674,0,0,0,0,0,0,0,0,0,0,0,340,2,0,0
389,0,0,0,0,0,0,0,0,0,0,0,1026,2,0,0
2815,0,0,0,0,0,0,2,0,1,0,0,2761,4,0,0
9927,0,0,1,0,1,0,1,0,1,0,0,217,4,2,0
9736,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
840,0,0,0,0,0,0,2,0,0,0,0,170,2,0,1
9287,0,0,0,0,0,0,1,0,1,0,0,3158,2,0,0
2772,0,0,0,0,1,0,2,0,1,0,0,909,2,2,0
8666,0,0,0,0,0,0,0,0,1,0,0,53,2,0,0
8029,0,0,0,0,0,0,0,0,0,0,0,1356,2,0,0
1569,0,1,0,0,1,0,3,0,1,0,0,352,3,5,0
2526,0,0,0,0,0,0,1,0,0,0,0,188,3,0,0
9615,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
6421,0,0,1,0,0,0,0,0,0,0,0,371,2,0,0
2366,0,1,0,0,0,0,2,0,0,0,0,2361,3,2,0
2167,0,0,0,0,0,0,2,0,1,0,0,372,2,0,0
5059,1,0,0,0,1,0,3,0,1,0,0,87,1,0,0
5340,0,1,0,0,1,0,1,0,1,0,0,324,4,1,0
3554,0,1,0,0,1,0,8,0,0,0,0,3454,2,11,0
6008,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3768,0,0,0,0,0,0,0,0,0,0,0,271,2,0,0
8782,0,1,0,0,1,0,1,0,1,0,0,305,1,1,0
5317,0,0,0,0,0,0,0,0,0,0,0,372,1,0,0
4100,0,0,0,0,1,0,3,0,1,0,0,923,3,0,0
8826,0,1,1,0,1,0,5,0,1,0,0,381,2,3,2
8808,0,1,0,1,1,0,7,0,1,0,0,140,3,1,4
8776,1,0,0,0,1,0,7,0,1,0,0,194,4,12,1
3365,0,0,0,0,1,0,2,0,1,0,0,1173,2,2,0
6312,0,1,0,0,1,0,3,0,1,0,0,695,2,2,0
1463,0,0,0,0,1,0,1,0,1,0,0,645,3,0,0
7173,0,1,0,0,0,0,0,0,1,0,0,279,2,1,0
1182,0,0,0,0,0,0,1,0,1,0,0,122,2,0,0
4976,0,0,0,0,0,0,1,0,1,0,0,210,2,0,1
2094,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
1716,0,1,0,0,1,0,2,0,0,0,0,1897,1,2,0
5517,1,0,1,0,1,0,0,0,1,0,0,373,2,0,0
11164,0,0,0,0,0,0,2,0,1,0,0,1047,2,0,0
989,0,0,0,0,1,0,4,0,0,0,0,322,1,7,0
4818,0,0,0,0,0,0,1,0,0,0,0,1419,2,3,0
3057,0,0,1,0,0,0,0,0,1,0,0,373,2,3,0
4422,0,0,0,0,0,0,0,0,0,0,0,162,2,0,0
8642,0,0,1,0,0,0,0,0,1,0,0,374,2,2,0
11250,0,0,0,0,0,0,1,0,0,0,0,3256,3,2,0
7882,0,1,1,0,0,0,0,0,1,0,0,105,1,1,0
7598,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0
3165,1,1,0,0,1,0,2,0,1,0,0,80,3,1,0
7476,0,0,0,0,0,0,2,0,1,0,0,153,3,1,0
737,0,0,1,0,0,0,0,0,1,0,0,371,2,0,0
8881,0,0,1,0,1,0,1,0,1,0,0,228,5,0,0
6045,0,0,0,0,0,0,2,0,1,0,0,302,2,0,0
4759,0,0,0,0,0,0,2,0,1,0,1,83,2,0,0
7424,0,1,0,0,0,0,2,0,1,0,0,330,3,1,0
1015,0,0,0,0,0,0,0,0,0,0,0,340,1,0,0
5276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5937,0,1,0,0,0,0,2,0,0,0,0,137,2,1,0
7012,0,0,0,0,0,0,0,0,0,0,0,1605,2,0,0
3951,0,0,0,0,1,0,6,0,1,0,0,265,1,0,1
7356,0,0,0,0,0,0,0,0,0,0,0,300,3,0,0
1189,1,1,0,0,1,0,2,0,1,0,0,14,4,1,2
3060,0,0,0,0,1,0,1,0,1,0,0,231,3,0,0
1980,0,0,0,0,0,0,2,0,0,0,0,181,2,0,0
10113,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
8185,0,0,0,0,0,0,0,0,0,0,0,163,2,0,0
1259,0,0,0,0,0,0,0,0,0,0,0,130,2,0,0
391,0,0,0,0,1,0,1,0,1,1,0,0,3,6,0
860,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1151,0,1,0,0,1,0,4,0,1,0,0,591,3,1,1
2447,0,0,0,0,0,0,0,0,0,0,0,232,2,0,0
1324,0,0,0,0,0,0,2,0,1,0,0,316,1,2,0
11058,0,0,0,0,0,0,3,0,1,0,0,484,2,0,0
10743,1,0,0,0,1,0,5,0,1,1,0,0,2,0,0
1162,1,0,0,0,1,0,3,0,0,0,0,192,1,2,0
8404,0,1,0,0,1,0,5,0,1,0,0,276,2,1,0
4545,0,0,0,0,0,0,0,0,1,0,0,362,1,0,0
4473,0,1,0,0,1,0,2,0,0,0,0,95,2,9,0
1673,0,0,0,0,0,0,2,0,0,0,0,146,2,2,0
8979,1,0,0,0,1,0,2,0,0,0,0,210,2,0,0
8966,0,0,0,0,0,0,0,0,0,0,0,427,2,1,0
2318,0,1,0,0,1,0,2,0,0,0,0,314,2,6,0
1528,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
11412,0,0,0,0,0,0,2,0,1,0,0,102,1,0,0
3791,0,0,0,0,1,0,3,0,1,0,0,587,4,5,0
8218,0,0,0,0,0,0,2,0,0,0,0,303,3,0,0
2496,0,0,0,0,0,0,1,0,1,0,0,298,1,0,0
2531,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10647,0,0,0,0,1,0,5,0,0,0,0,737,3,7,0
1818,0,1,0,0,0,0,3,0,1,0,0,139,2,1,0
7110,0,0,1,0,1,0,3,0,1,1,0,0,3,1,0
3645,0,0,0,0,0,0,1,0,1,0,1,753,1,0,0
5892,0,0,0,0,0,0,0,0,0,0,0,849,2,0,0
7787,0,0,0,0,0,0,1,0,1,0,0,68,1,0,0
6757,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
10212,0,0,0,0,0,0,0,0,0,0,0,936,2,0,0
357,0,0,0,0,1,0,3,0,0,0,0,733,3,2,0
6666,0,0,0,0,0,0,2,0,0,0,0,313,2,1,0
5718,0,0,0,0,1,0,4,0,1,0,0,1341,3,0,0
9128,0,0,0,0,0,0,0,0,1,0,0,242,2,0,0
7595,1,1,0,0,1,0,5,0,1,0,0,228,4,1,0
9145,0,0,0,0,1,0,0,0,1,0,1,176,2,3,0
9726,0,0,0,0,1,0,3,0,1,0,0,330,2,2,0
2309,1,0,0,0,1,0,1,0,0,0,0,47,1,9,0
3702,0,1,0,0,0,0,3,0,1,0,0,0,3,1,0
1302,1,0,0,0,1,0,3,0,1,0,0,77,1,0,0
8968,0,0,0,0,0,0,3,0,1,0,0,170,2,0,0
9585,0,1,0,0,0,0,2,0,1,0,0,55,2,1,0
10512,1,1,0,0,1,0,4,0,1,0,0,311,2,8,0
9291,1,1,0,0,0,0,1,0,1,0,0,1278,2,1,0
4227,1,0,0,0,1,0,4,0,0,0,0,735,4,5,0
5940,1,1,0,0,1,0,2,0,1,0,0,25,4,1,2
4753,0,0,0,0,0,0,2,0,0,0,0,120,2,0,0
5687,0,0,1,0,0,0,0,0,1,0,0,50,2,0,0
9536,0,1,0,0,0,0,0,0,1,0,0,557,2,1,0
10749,0,0,0,0,0,0,0,0,1,0,0,992,2,0,0
3239,0,0,1,0,0,0,0,0,1,0,0,374,2,0,0
1777,0,0,0,0,0,0,1,0,1,0,0,89,1,0,0
3777,0,0,0,0,1,0,1,0,1,0,1,108,2,2,0
7376,0,0,0,0,0,0,0,0,0,0,0,991,2,0,0
9936,0,0,0,0,0,0,1,0,0,0,0,106,2,0,0
4782,0,0,0,0,0,0,0,0,1,0,0,359,1,0,0
6333,0,0,0,0,0,0,3,0,1,0,0,923,1,0,1
4169,0,0,0,0,1,0,4,0,1,1,0,0,5,0,0
3806,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0
6954,0,0,0,0,1,0,4,0,1,0,0,62,2,3,0
8930,0,0,0,0,0,0,2,0,1,0,0,283,2,0,0
398,1,1,0,0,1,0,2,0,1,0,0,25,4,1,2
1460,0,0,0,0,0,0,0,0,0,0,0,1539,1,0,0
2856,0,0,0,0,0,0,0,0,0,0,0,238,2,0,0
7714,1,0,0,0,1,0,2,0,1,0,0,25,4,0,2
8393,0,0,0,0,0,0,0,0,0,0,0,1164,2,0,0
1140,0,0,0,0,0,0,0,0,0,0,0,193,1,0,0
3340,0,0,0,0,0,0,0,0,0,0,0,455,2,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,2479,2,0,0
8890,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
8466,0,0,1,0,0,0,0,0,1,0,0,218,4,2,0
1521,0,0,0,0,1,0,1,0,1,0,0,481,2,4,0
3876,0,0,0,0,0,0,2,0,1,0,0,2697,3,0,0
6594,0,0,0,0,0,0,2,0,1,0,0,901,2,0,1
8731,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
5314,0,0,0,0,1,0,3,0,0,0,0,0,3,0,3
11323,0,0,0,0,0,0,2,0,1,0,0,711,2,0,0
7775,0,1,0,0,1,0,4,0,1,0,0,192,3,1,0
6144,0,0,0,0,1,0,1,0,0,0,0,262,3,2,0
10894,0,0,0,0,0,0,0,0,1,0,0,2160,2,0,0
1506,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0
11336,0,0,0,0,1,0,4,0,0,0,0,172,2,0,0
8891,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
3606,0,0,0,0,1,0,2,0,0,0,0,902,2,0,5
2460,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0
6864,0,0,0,0,0,0,0,0,0,0,0,1050,2,0,2
5752,0,0,0,0,0,0,0,0,0,0,0,222,2,0,0
6069,0,0,0,0,0,0,4,0,0,0,0,233,1,2,0
1932,0,0,0,0,0,0,0,0,0,0,0,734,2,0,0
3879,0,0,0,0,0,0,0,0,0,0,0,803,2,0,0
543,0,0,0,0,0,0,2,0,1,0,0,188,3,2,0
6742,0,0,0,0,0,0,0,0,0,0,0,101,2,0,0
1021,0,1,0,0,0,0,0,0,1,0,0,311,2,1,0
2924,0,0,0,0,0,0,1,0,0,0,0,2505,2,0,0
7888,0,0,0,0,0,0,1,0,1,0,0,223,2,0,0
3807,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7222,0,0,1,0,0,0,0,0,1,0,1,247,2,0,0
7745,0,0,1,0,0,0,0,0,1,0,0,374,2,0,0
10283,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
781,0,0,0,0,0,0,0,0,0,0,0,252,2,0,0
5933,1,0,0,0,0,0,1,0,1,0,0,110,1,0,0
394,0,0,0,0,1,0,4,0,0,0,0,576,2,5,0
6605,0,0,0,0,1,0,1,0,0,0,0,803,2,5,0
5786,0,0,1,0,0,0,0,0,0,0,0,351,2,0,0
906,0,0,0,0,0,0,0,0,0,0,0,1543,2,0,0
7815,0,0,1,0,1,0,2,0,1,0,0,816,3,0,3
8200,0,0,0,0,0,0,3,0,1,0,0,1752,2,0,0
5187,1,1,0,0,1,0,6,0,1,0,0,257,2,2,0
9043,0,0,0,0,1,0,2,0,1,0,0,353,3,0,3
4880,1,0,0,0,1,0,2,0,1,0,0,15,4,0,2
2180,0,0,0,0,0,0,1,0,1,0,0,1050,2,0,2
9118,0,0,0,0,0,0,1,0,0,0,0,2806,2,0,0
9069,0,0,0,0,0,0,0,0,0,0,0,159,2,1,0
